Type	Gene	
Blood	COQ7	
Blood	LMOD1	
Blood	SDSL	
Blood	MORN2	
Blood	ARRB2	
Blood	SPA17	
Blood	FANCA	
Blood	KCTD20	
Blood	CD300LF	
Blood	FBN2	
Blood	AATK	
Blood	LOC101927069	
Blood	YKT6	
Blood	NANS	
Blood	MKLN1	
Blood	UBAC1	
Blood	FCN1	
Blood	ITPR2	
Blood	OAF	
Blood	TRPM2	
Blood	STX10	
Blood	BRWD3	
Blood	RTFDC1	
Blood	HDAC4	
Blood	SMIM3	
Blood	PYCARD	
Blood	AOAH	
Blood	GBP6	
Blood	RELT	
Blood	SNX1	
Blood	CLPB	
Blood	PGS1	
Blood	AGPAT2	
Blood	ANKRD44	
Blood	PRKAG2	
Blood	RTN4	
Blood	GABARAPL1	
Blood	AKIRIN2	
Blood	ATP6V0B	
Blood	ZNF385A	
Blood	LILRA2	
Blood	DPY19L1P1	
Blood	PSENEN	
Blood	CHIC2	
Blood	FAM13A	
Blood	GADD45G	
Blood	SFT2D1	
Blood	KLHL18	
Blood	SKAP2	
Blood	MCM10	
Blood	CTSA	
Blood	TSC22D3	
Blood	PCTP	
Blood	HEATR3	
Blood	CTBP2	
Blood	HTATIP2	
Blood	SH3TC1	
Blood	SAG	
Blood	RNF19B	
Blood	CD63	
Blood	COL8A2	
Blood	FKBP15	
Blood	NUDT3	
Blood	DCLRE1B	
Blood	GYG1	
Blood	PECAM1	
Blood	NARF	
Blood	RHEB	
Blood	C9orf66	
Blood	RNF181	
Blood	METRNL	
Blood	CALCOCO2	
Blood	LOC100506047	
Blood	NSF	
Blood	TRIOBP	
Blood	TMEM38A	
Blood	TSPO	
Blood	MYO7A	
Blood	COTL1	
Blood	ANP32A	
Blood	RASGRP4	
Blood	POLD3	
Blood	SRA1	
Blood	LILRA1	
Blood	MCFD2	
Blood	TCP11L1	
Blood	NBN	
Blood	SRGAP2C	
Blood	GAA	
Blood	S100A9	
Blood	ZDHHC3	
Blood	BTK	
Blood	PGLS	
Blood	LOC399900	
Blood	KLF6	
Blood	SQRDL	
Blood	LINC-PINT	
Blood	MMP19	
Blood	BCKDK	
Blood	PLAGL1	
Blood	GALK1	
Blood	HN1	
Blood	EFHD2	
Blood	QSOX1	
Blood	MILR1	
Blood	ADAP1	
Blood	KIDINS220	
Blood	GLUL	
Blood	GPR162	
Blood	AP3S2	
Blood	RALB	
Blood	NLRC4	
Blood	FOLR2	
Blood	SERPINB8	
Blood	CPQ	
Blood	UPP1	
Blood	SRGAP2	
Blood	RAB7A	
Blood	FAM91A1	
Blood	NOL3	
Blood	TMEM165	
Blood	DDAH2	
Blood	SORD	
Blood	CENPN	
Blood	ATP11A	
Blood	SAR1A	
Blood	FRY	
Blood	MFSD7	
Blood	NAGK	
Blood	ITIH4	
Blood	ZNF106	
Blood	SEC24D	
Blood	STRN	
Blood	GATA2	
Blood	CLCN5	
Blood	PSTPIP2	
Blood	FBXO38	
Blood	TAB3	
Blood	SIGLEC9	
Blood	OSTF1	
Blood	VASP	
Blood	CSGALNACT2	
Blood	ERLIN1	
Blood	LATS2	
Blood	ETS2	
Blood	CST3	
Blood	CTSS	
Blood	CLEC10A	
Blood	FMO5	
Blood	NUP214	
Blood	RAB18	
Blood	KIAA0930	
Blood	SRXN1	
Blood	FAM49B	
Blood	TOP2A	
Blood	RNF135	
Blood	SLC15A3	
Blood	KDM7A	
Blood	LILRA6	
Blood	SPTLC1	
Blood	ELMSAN1	
Blood	ITSN1	
Blood	GIT2	
Blood	ZNF467	
Blood	AURKB	
Blood	PAFAH1B2	
Blood	MT1E	
Blood	CLTCL1	
Blood	SH3GLB1	
Blood	SNX21	
Blood	UBXN2B	
Blood	PSRC1	
Blood	GAS6-AS1	
Blood	P2RX7	
Blood	MLKL	
Blood	TK2	
Blood	H2AFY	
Blood	TNFRSF8	
Blood	FEZ2	
Blood	TMEM205	
Blood	MME	
Blood	CDA	
Blood	CARD6	
Blood	SIGLEC15	
Blood	BLOC1S1	
Blood	APLP2	
Blood	C10orf54	
Blood	C20orf27	
Blood	HIST1H2BC	
Blood	UBE2C	
Blood	ALDH2	
Blood	MEGF9	
Blood	USP49	
Blood	NAGA	
Blood	LGALS1	
Blood	MKNK1	
Blood	FCGRT	
Blood	SLC16A6	
Blood	GADD45B	
Blood	ACTR2	
Blood	MAK	
Blood	CDCA7	
Blood	FBP1	
Blood	CD33	
Blood	PGM2	
Blood	C10orf128	
Blood	RAB1A	
Blood	SETD7	
Blood	ACAP2	
Blood	PTPN12	
Blood	VAMP5	
Blood	GALNT4	
