"","genes","QEp","pval","tau2","I2","num_exp","qval"
"13079","MRPL4",1.27899414439262e-06,0.0374464163562146,0.0194172337267376,81.6046400387443,6,0.39622666693483
"13080","PAX9",0.534777525969095,0.558834308002274,0,0,6,0.907244232924767
"13081","AC007389.3",0.251328369174645,0.224043215957934,4.78287544973298e-05,0.336182947986649,3,0.746549130075413
"13082","TMEM110",0.388505659672711,0.189264319757333,7.38543812001241e-07,0.0165054990790985,5,0.712960599607578
"13083","KCNK7",0.0200343048582382,0.298817076602043,0.0105359095524327,61.6439921112944,6,0.800766806921548
"13084","PLAC8",0.00960304006999305,0.84324408006,0.0411985686382101,71.1958997183339,6,0.973965921725513
"13085","VCY /// VCY1B",0.78060723520516,0.610517840593069,0,0,3,0.920085308705295
"13086","LSM6",0.000325595961343885,0.459679541910009,0.015261344054519,78.2183683956812,6,0.874116891027764
"13087","TAAR3",0.144060780117093,0.944428546587767,0.00402662126844279,46.0814205563392,4,0.991539164844511
"13088","ARHGEF18",0.128748919917082,0.942408463974094,0.00175023860370861,43.9443751848374,6,0.991534330794138
"13089","ULBP2",0.00870979601085967,0.891265942347318,0.0179504849726419,67.6540256319253,6,0.982583229066474
"13090","CECR1",0.16039357042719,0.0507969677203878,0.0107137657041656,41.4305114902085,5,0.458330506485357
"13091","KCNK13",0.0599354358748085,0.492506455882498,0.00629080922368103,52.0996059569739,6,0.883831708438058
"13092","ARMC4",0.163824447515036,0.677010375658229,0.00893052183277829,38.5457471259573,6,0.934724381405694
"13093","GAGE1 /// GAGE12B /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE12J /// GAGE13 /// GAGE2D /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7",0.0978539755694992,0.68320806584126,0.00604334777216354,56.9035925210891,3,0.936792598867713
"13094","PARP6",0.00151188930496116,0.0779314320386735,0.0103731401318231,81.6030201044515,6,0.541176388391114
"13095","APOL3",7.63966831459139e-10,0.995480861867638,0.0972361532000499,90.1937461753534,6,0.999671267747465
"13096","PTDSS2",0.0476978779184673,0.0514842284387218,0.00555470198168692,54.6866603347676,6,0.460399957581939
"13097","ATP2C2",3.01265398168038e-07,0.699815624051183,0.044832323442848,86.8163805256795,6,0.94111601926169
"13098","CAMTA2",0.0412060655292688,0.0235749717023865,0.00483144868683117,59.2454602726315,6,0.311772049732678
"13099","PLEKHM1",4.38529040225725e-06,0.326767381581496,0.0105858661492381,81.1932872966637,6,0.817031255101165
"13100","HLA-DQB1 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// LOC100996809 /// LOC101060835",0.461746073308702,0.657199239275513,0,0,3,0.929414523250236
"13101","NXF3",7.39601064757726e-07,0.907758061022425,0.118862681541835,89.4417667180269,6,0.987723949731762
"13102","TEX11",0.686845430360242,0.034642621648399,0,0,6,0.378881444671017
"13103","GNG5",0.000114559799821126,0.0302482095606861,0.0109969111974851,75.5146960279623,6,0.354459307170131
"13104","KRT19P2 /// MIR492",0.825210572776805,0.475289135393735,0,0,3,0.877490796047047
"13105","PCYT1B",0.212550878421815,0.437616960203726,0.00256434545908183,30.8892011551494,6,0.86682780385716
"13106","RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C",0.482142810577516,0.958253664737763,0,0,3,0.993411236788382
"13107","DMTF1",0.0483279764731521,0.769638420983737,0.00479993110286085,50.3099393575558,6,0.956188959488848
"13108","LDB2",7.19776911405853e-05,0.744276292409932,0.0590126230026782,82.5069212922321,6,0.952449810095768
"13109","KIAA0922",0.0229083767001851,0.236908120008377,0.00844237851090857,66.2912124698225,5,0.756834232535383
"13110","LOC101060521 /// POLR3E",0.294021782692972,0.820482751675295,6.36795393778297e-06,0.0472149305962681,3,0.969126111620496
"13111","NBPF10 /// NBPF11 /// NBPF14 /// NBPF15 /// NBPF19 /// NBPF20 /// NBPF25P /// NBPF26 /// NBPF8 /// NBPF9",0.202034355433543,0.703619875282712,0.013062789121087,41.083776083257,3,0.941581185919369
"13112","LTB4R2",3.15468287328362e-07,0.630154098464128,0.0331398934610015,84.7352406938788,6,0.922530895959575
"13113","KCNN1",0.189226600884566,0.279658162490968,9.63572321893397e-07,0.0155747171131882,6,0.790900817918405
"13114","OLFML2A",5.75664963992648e-08,0.216413779479559,0.0722651457171868,85.3431769035419,6,0.739723338971924
"13115","SERGEF",6.19750919149384e-12,0.64445862146532,0.0215899320940144,91.6091952538179,6,0.926377929713255
"13116","POPDC3",0.113832742676049,0.838219054584799,0.00706767159419297,43.6919747099362,6,0.973609799281995
"13117","P2RY13",0.821812102743006,0.00522570184748572,0,0,6,0.13863795206761
"13118","POU4F3",0.98716431652061,0.737253986166074,0,0,5,0.950906218841046
"13119","CKLF /// CKLF-CMTM1",0.511796792909024,0.128015943493229,0,0,3,0.642947553972421
"13120","AKIRIN1",0.00042468071998556,0.387548771750602,0.0129787983665889,75.1764980961738,6,0.846739334585942
"13121","ACTR6",0.328636211273969,0.382798527326276,0.00010373282970004,2.71975388421453,6,0.844519273551446
"13122","DENND1A",6.22131119713937e-10,0.900473141202026,0.0270582802335091,87.7723967066512,6,0.98594957601929
"13123","TNFRSF11A",4.15898704994034e-05,0.636057670465588,0.0244655742834786,80.2642598111814,6,0.923421374396549
"13124","CBWD1 /// CBWD2 /// CBWD3 /// CBWD5 /// CBWD6 /// CBWD7 /// LOC101060578",0.448268777113224,0.22590339690639,0,0,3,0.747153087884085
"13125","PSG4",0.510176792180764,0.243954080161803,0.000752305811610524,8.11098097680219,5,0.762759271770944
"13126","SEMA3E",3.63743899168498e-06,0.992550748458161,0.126948152328284,89.0754399579994,6,0.999345385590965
"13127","THNSL2",1.9437945998857e-05,0.94176286595042,0.0545317930432765,82.386165847049,6,0.991534330794138
"13128","TXLNG",0.00564854225033767,0.371907227917603,0.0096446151695074,67.0798788615674,6,0.838197766929497
"13129","PRDM1",0.000561795036091037,0.299672135013771,0.0436496072033207,79.0008721140771,6,0.801457333584484
"13130","DUTP1 /// DUTP1",0.903097666844649,0.862569218896426,0,0,3,0.97813162636613
"13131","SH3BP5",0.000129848181500951,0.0914218779513401,0.0261186208812464,78.143191424054,6,0.578194650496845
"13132","C9orf53",0.0167346444404711,0.573120952919097,0.0148051832559667,66.6602267703965,5,0.910594879071859
"13133","LOC102725016 /// PPP2R3B",0.351530647622046,0.252110028625181,8.70438565588838e-07,0.0106585687763358,3,0.769293062139714
"13134","MBTPS2",1.27714177955789e-05,0.362859642421481,0.0131859821046842,84.6602005528766,6,0.833952952845858
"13135","GOLGA2P5",0.16794019208372,0.311492616819082,0.00328566498027095,29.3937368516864,5,0.809508441245492
"13136","GLS2",0.346488560765648,0.196567870688345,3.07052949459892e-05,0.971516152287499,6,0.72162020920495
"13137","FOXD2",0.932511255198491,0.14035887595035,0,0,6,0.659026839771139
"13138","KLHL11",6.21628629734278e-08,0.519015162827433,0.102104942188319,93.7151881903574,6,0.8935363790805
"13139","CLIC2",0.984480009176008,0.933229747220211,0,0,6,0.990002083091526
"13140","HTR5A",0.943554018155345,0.98901217249251,0,0,6,0.998621058528575
"13141","NTNG1",2.81583590152992e-09,0.854999813485071,0.104716151139587,90.4642186285798,6,0.976821698107006
"13142","MOB3B",0.0952826189934481,0.785720212889082,0.00473002254232248,48.6805890304957,5,0.960272017657621
"13143","IGF2BP2",6.01542203404232e-06,0.859192834362362,0.0205971972593455,78.466897536043,6,0.977998666409526
"13144","LOC101929304 /// SNX29",0.233150952675182,0.496617945467411,0.00264645819100676,33.4511556957784,3,0.884687033364835
"13145","HTR3B",0.0743270259570178,0.718778983233042,0.00929679401496718,59.4149140916204,6,0.945691733327979
"13146","RNF111",0.00828158400082607,0.468942935228551,0.00627141003080929,64.2714828237217,6,0.876870170145677
"13147","GPR15",1.53591202585116e-08,0.056593491442492,0.195163898259613,96.2013319380421,6,0.475255946071065
"13148","MIR4784 /// MZT2A /// MZT2B",0.370465732705064,0.669538167751895,5.39168538321084e-06,0.0299257296239264,3,0.933104188060418
"13149","PODNL1",0.00779893055859365,0.467056852749788,0.0133125497267326,66.8534399665493,6,0.876757244542909
"13150","RP1-130G2.1",0.364989682565401,0.983585390313759,0.00030275706599757,3.98894401299438,3,0.997276490391034
"13151","CDADC1",3.40228874246673e-06,0.47302980314154,0.0141593957617533,80.9519323531084,6,0.877490796047047
"13152","MFSD1",0.000345365381818987,0.993838406456095,0.0348679491471146,84.1823130353214,6,0.999538487161877
"13153","DCUN1D2",0.221278632766683,0.368419555721812,0.00236918452157405,33.1962518589385,6,0.836433494408743
"13154","DIP2A",0.000174376343567795,0.816604029856099,0.0159778687554023,82.6509167158651,6,0.967455310909425
"13155","APITD1 /// APITD1-CORT",0.49175457053929,0.650551954020026,0,0,3,0.927464407640935
"13156","EIF4EBP1",1.2823990590644e-11,0.364312002507911,0.0581964514618921,89.9245190124452,6,0.834151191299057
"13157","UBE2L6",0.680299116180599,0.8776454862254,0,0,6,0.980042826355267
"13158","KIAA0391",0.0360438897196033,0.307274577203528,0.00657358012408292,67.1466726649903,5,0.807291574814527
"13159","CCDC87",0.392060579524493,0.894559582278185,0.00239203134396973,27.2542193786407,6,0.983746108688624
"13160","ZDHHC8P1",0.00577262605621148,0.295067950813258,0.0120622390771992,69.5413260086154,5,0.800002736384804
"13161","SCGB1D2",0.0351600044686802,0.415550385469446,0.00746742564582402,49.4724792310715,6,0.859282149189747
"13162","FJX1",0.00332542788283057,0.726097398054987,0.0253533342747894,68.267351895401,6,0.948825580385533
"13163","RAPGEF4",0.000128793218574977,0.115356374985648,0.0423179969722929,83.8479221930723,6,0.619973820128148
"13164","PRRX1",0.00108573823246566,0.00151651109920354,0.0343357474399879,72.9284698246404,6,0.066479977301505
"13165","OR7E14P",0.033470229872459,0.424525554034752,0.0111150703914609,67.9550668593138,5,0.86247657214322
"13166","INSIG2",5.34241573938559e-05,0.834617231336527,0.027123824451332,84.8822196268868,6,0.972967528732326
"13167","HHAT",8.61910387541098e-06,0.277488509827825,0.0240054596296771,84.4432099750063,6,0.78902842224833
"13168","FAM106A",0.49785119574647,0.201037212313544,0.000129782121528975,1.85920450145347,6,0.72575938090883
"13169","UCKL1",0.000302708550929396,0.304054393329442,0.0180006064171189,84.452926870408,6,0.804709157858865
"13170","FAM206A",0.219450904766499,0.767865521888895,0.00234311533525429,27.9611464853336,4,0.956188959488848
"13171","ORC6",0.814710320888879,0.33128041743546,0,0,6,0.818401558029111
"13172","LMAN2L",3.71188284564108e-05,0.0955142144762366,0.0149517902626069,81.6093883102309,6,0.585277541794581
"13173","RMI1",0.0410205171819068,0.489538606964103,0.00724034408144543,53.8478259120137,6,0.882976867147701
"13174","PI4KA /// PI4KAP1 /// PI4KAP2",0.597255692420118,0.981830942757423,0,0,3,0.997035043730698
"13175","SV2B",1.76026372984574e-06,0.0301400560398941,0.0539653850044427,84.5073165200005,6,0.354050442472063
"13176","TCRA /// TRAV8-6 /// TRAV8-6",0.309382837761117,0.048958341599326,0.00169854751564034,13.5379719091445,3,0.451411887270838
"13177","SH3BP1",0.190338730064873,0.784326895762973,0.00332056816106957,35.9440015210981,6,0.959192039161365
"13178","SOX15",0.0298920892739031,0.555717589842508,0.0105365325253081,60.785199020094,6,0.906463006530006
"13179","GOLGA8CP /// GOLGA8DP /// GOLGA8EP /// GOLGA8F /// GOLGA8G",0.593260656785458,0.81976542862894,0,0,3,0.968937722992486
"13180","TMEM260",0.0946256182909288,0.916977738272269,0.00411533204487722,42.5098340630203,4,0.988211827932527
"13181","PIP",0.0401557916376207,0.107856525979495,0.0670296854863983,56.4961715933298,6,0.606075065960027
"13182","LOC100294145",0.502986911589388,0.220762977703293,0,0,3,0.74436607265729
"13183","COL4A3BP",0.0438511201187741,0.891920418711621,0.00610819881364431,57.4336832537364,5,0.982694550377571
"13184","RRN3",0.0542763913290184,0.695614378776718,0.00357387873495578,53.9249681394205,6,0.94045596323918
"13185","PANX1",6.88030297152718e-07,0.380704586067057,0.0579351207289986,86.8988055414906,6,0.84355668839302
"13186","GIT1",0.00403227810685195,0.0834270787503237,0.0145679710008151,77.3655704948361,6,0.557072903935098
"13187","PCBP3",0.111135519323812,0.00863062589737675,0.00615172120964167,44.9584312285624,6,0.190150449579743
"13188","LMCD1",0.000462768142329062,0.741384434846032,0.0298890788336589,74.3998936537428,6,0.951976578133722
"13189","WBSCR16",0.284395809801236,0.48164902056709,0.000674703838471727,21.7199866417081,5,0.880770476023899
"13190","RP11-680F8.4",0.342793890359627,0.635384154427821,0.00291508954231494,9.29715974411226,3,0.923421374396549
"13191","IL25",0.104346608306493,0.779918160172897,0.00362259313006731,45.2475652240866,6,0.958551844369247
"13192","COX6CP1 /// COX6CP1",0.438871189925742,0.847260509657086,0,0,3,0.974719907888868
"13193","LYRM1",0.569323497118769,0.127827315651217,0,0,6,0.642890401997305
"13194","DBR1",0.707097771470027,0.806291719285078,0,0,6,0.964545067688286
"13195","VPS26A",0.00117327073072252,0.877102262278028,0.0110984495688347,76.690338937327,6,0.979932002084065
"13196","LOC101929232 /// PDCD6IPP2",0.878423011958189,0.962462349131399,0,0,3,0.993909504782923
"13197","CALCOCO1",2.90348913878454e-09,0.96233594246997,0.0469829569754032,91.4502239075937,6,0.993909504782923
"13198","FHOD3",0.232471610935506,0.97050368696744,0.00274227301411894,15.5028376238638,5,0.994867970248207
"13199","CNIH4",2.58280563791147e-12,0.449508674054028,0.100601350549145,96.1929670473624,6,0.870883664531473
"13200","SGK2",0.131362192094553,0.988743971247465,0.00300165721478644,40.6564980591693,6,0.998586883499751
"13201","HAMP",0.0560697364836235,0.341758141238204,0.0201590534171985,56.8639689327611,6,0.821797522234986
"13202","USP29",0.906246624845639,0.415397603884836,0,0,6,0.859282149189747
"13203","OR10J1",0.544741955186547,0.12666610337759,0,0,6,0.641154985141258
"13204","PNPLA6",6.08443832946499e-05,0.931756034455602,0.0329858990695877,76.7924379793285,6,0.990002083091526
"13205","PCDHGA9",0.359693326868475,0.637906898393656,0.000400908197723248,6.12005918866967,5,0.92446308772658
"13206","NPDC1",0.0944494516287347,0.0544278924187358,0.00877769225414208,50.9214425211892,6,0.469848560770327
"13207","C1orf50 /// LOC100129924",0.994487339257581,0.968234987474094,0,0,3,0.99443214547773
"13208","ZNF764",0.824380444571794,0.316716234233411,0,0,6,0.811306885937576
"13209","HSD3BP1 /// HSD3BP1",0.10250923016352,0.777850264455163,0.00362432738489725,55.7768924227658,3,0.957632149153073
"13210","HS1BP3",0.000115083237271042,0.561707528061968,0.0113886403707278,82.3235958969977,6,0.907564856205692
"13211","TCEAL2",0.0701493371358117,0.00970218454833418,0.00966389167301067,45.3875716215757,6,0.201860392385019
"13212","NAALAD2",2.93209779823415e-10,0.207118188747067,0.0320909266428278,91.9012120937565,6,0.731600814007635
"13213","CRBN",0.00289657699981225,0.525300841912187,0.0193107487038959,82.9251211325795,6,0.896069276087702
"13214","FABP3P2 /// FABP3P2",0.652762567476151,0.370948070028243,0,0,3,0.837631015575169
"13215","LY75",4.1359686235683e-05,0.024593003138662,0.0515898212295323,82.9895359126358,6,0.3183195211842
"13216","TSPAN15",0.000642373389173699,0.0782143792694552,0.0232838297771463,73.7849302268785,6,0.541818109806361
"13217","LOC729164",0.984141294907379,0.838589983543799,0,0,4,0.973678945348748
"13218","REPIN1",0.0772330922778292,0.02284097373827,0.00253802808947651,47.1537259773112,6,0.309343892559743
"13219","BSPRY",0.0688957743025466,0.00588715968503311,0.00705033767935593,51.2880650110041,6,0.148006833387706
"13220","ZFP30",0.18003085088224,0.296134333265614,0.00233352082026375,32.5357068986119,6,0.800093746935749
"13221","AC004490.1 /// AX746733",0.391465938168886,0.640084741111447,5.85168198191901e-06,0.112591400908212,3,0.925362542314016
"13222","HCG4",0.605514772509293,0.599717270404221,0,0,5,0.917227311267906
"13223","HOXC10",0.180755425074428,0.24145208332938,0.00548238244664827,42.9097272202933,6,0.760966957889414
"13224","ZNF324B",0.841601722184116,0.0957150491444796,0,0,6,0.585277541794581
