"","genes","QEp","pval","qval"
"4200","PNO1",0.000563349887836834,0.507089966180587,0.845547373534874
"4201","TACR2",0.269892085664559,0.0190095350944828,0.23528783060341
"4202","AGT",3.45480469863865e-06,0.669603632476554,0.903811156102086
"4203","GSTZ1",0.0101581025289663,0.635737045125291,0.892228447641916
"4204","TRIP10",0.494092363526621,0.0021667249094142,0.0663306718935334
"4205","CSTA",0.0116119881283332,0.736195235327607,0.930845548581567
"4206","SEPHS2",0.169216450585086,0.0119970706299875,0.184249325528102
"4207","ETV4",0.000901132965789759,0.469372620575378,0.830313851944474
"4208","AP1B1",1.28890590659699e-06,0.474364488709842,0.830313851944474
"4209","ARPC1B",0.07058183505452,0.249949972568664,0.673574104480813
"4210","SLC30A3",0.148971841083445,0.833122984173067,0.966969684819563
"4211","MDC1",1.15101588647777e-05,0.788470981948768,0.952546140865473
"4212","CRYAA",0.625308010627343,0.578485766789508,0.875949844129132
"4213","CSTF2",0.00784192641351669,0.256594201657907,0.678964586959996
"4214","CCNH",0.0575479899146811,0.505179149594187,0.845547373534874
"4215","NUDT2",0.0074651667514164,0.619826484573494,0.886680129956849
"4216","SEPHS1",0.00585037169429669,0.70712923884639,0.919429731193604
"4217","GMFB",0.150430551419015,0.636017044647249,0.892228447641916
"4218","TXLNA",0.486161426203092,0.0590204237773517,0.405066337660092
"4219","CCNG2",0.000263143638622897,0.589312111994875,0.87925874833632
"4220","MADD",0.0274277515803908,0.837413077219274,0.967110121517665
"4221","GPA33",6.66114549159422e-05,0.521053926208369,0.854533347173112
"4222","HES1",0.605088947347639,0.716663878418349,0.922825139191403
"4223","LRRC14",0.000252844970113621,0.219441326420011,0.650901975291596
"4224","TM9SF1",0.524820168171295,0.800912137152762,0.956785190914045
"4225","PRKG1",0.0389071957408057,0.427167863251342,0.810266984215346
"4226","DAXX",0.159677463213358,0.138476225968165,0.562067235465229
"4227","PBX3",0.000406003126217317,0.382199406369845,0.783448732242419
"4228","TOP3B",0.166405853485104,0.00492252420591637,0.109729277444505
"4229","EPHB1",0.00320134472832665,0.254890864947042,0.677416525523842
