"genes","TE.random","pval.random","tau2","I2","pval.Q","num_exp","qval.random","qval.Q"
"RABEP2",-0.10916898382027,0.103025838660413,0.0254724002461135,0.77240541165066,2.51051967903451e-05,9,0.532498802347854,8.62470572348934e-05
"ZNF789",-0.0243216064044574,0.754501447346545,0.036619171599169,0.766515144975863,9.57437045109734e-05,8,0.93222457608061,0.000288787143234936
"MYCN",0.0424120601090645,0.42084110278133,0.0167375215271558,0.709052820320534,0.000159815019579639,11,0.803271189588171,0.000458866711578954
"NUBP2",-0.0533813580665342,0.483964093638379,0.0428845616891833,0.853339121206071,7.30681672396623e-10,10,0.831903796467168,6.61867616172141e-09
"C17orf103",-0.0278535397950317,0.558441306338214,0.00129226635103969,0.205729037216169,0.28393322598195,3,0.860002575756588,0.340023673165558
"RRP7A",0.0402732775202821,0.714265519682812,0.10283168002661,0.815102191730774,1.90921397762964e-07,10,0.918412075963931,1.0398105110219e-06
"CRYAA",-0.000183318350619898,0.997155903875196,0.0145048517674394,0.56492952164958,0.0141185065919868,10,0.999219982162745,0.0253111315607717
"NRTN",-0.0790373137363159,0.0301952868712399,0.0042762771783278,0.339987585029436,0.13587113352244,10,0.329650117461457,0.181434737574491
"ALG1L",0.0164462227818921,0.896333931763589,0.051499069192027,0.728358384640067,0.00530626169617206,5,0.97314434603421,0.010649157872529
"CLCN3",-0.0514770079828984,0.480866834030738,0.0482952210658815,0.833542997693596,3.50689482799385e-09,11,0.830032395473713,2.79520487330716e-08
"NMNAT2",0.0637261831221626,0.166209308800615,0.0092006339355735,0.528600572487969,0.0244211659655125,10,0.621584174144646,0.0408860919609965
"CDH22",0.0792241136153044,0.209460130736711,0.020841727293032,0.626832659135566,0.00411880512150397,10,0.66242755860508,0.0085285282497877
"KAT5",-0.0849989030898073,0.0392217587607571,0.00949986861702433,0.731458210662919,0.000108629363805628,10,0.37139064898775,0.000324007993638075
"SLC22A13",0.0482458541832826,0.199150243397941,0.00473072931052762,0.40914217262854,0.0945822592885406,9,0.654865009384485,0.132750795221327
"DTX1",0.0569584377676928,0.230200348616863,0.00839307271311291,0.453691431166103,0.0664543286270286,9,0.680692499782362,0.0978722736408448
"ACSBG2",-0.0490654518369779,0.211615555260626,0.00499237262888343,0.400705462962175,0.100391589394131,9,0.664803206849581,0.139782310555875
"ZNF160",-0.0700951173363971,0.401676592951739,0.0629520623591495,0.779374087074293,1.89944418157556e-06,11,0.793789473645175,8.31571217000064e-06
"HTR3E",-0.0163249316538158,0.579565803936185,0,0,0.9584783096629,7,0.870146209763646,0.965219064504167
"XYLB",0.0770901005446526,0.282393955443974,0.0418886883456778,0.850985893165893,1.12408565033986e-09,10,0.722338123899208,9.86211435845447e-09
"ELN",-0.03281084768159,0.424275955133334,1.40053760483188e-07,0.10587829828867,0.343351487836451,11,0.804741563781692,0.399096273403192
"SAP30BP",-0.0467623206397759,0.675125175573286,0.114957172295059,0.891938173156061,3.58620392597798e-14,10,0.904918431348856,7.58320263997114e-13
"DAAM1",-0.109088900439907,0.264666102500366,0.0776993676042643,0.824283444140273,6.34929327323805e-08,10,0.707467211946192,3.84125874632433e-07
"LOC57399",0.0405365168295835,0.171750923190314,1.95204422325711e-06,0,0.441075742358763,6,0.628716963055146,0.494669940774875
"TM4SF20",0.0395752014030721,0.246091821513442,0.00372199606434503,0.616095201442256,0.0075890407783843,9,0.692011349377018,0.0146492348875972
"PCK1",0.0233633096056777,0.403375303866636,2.3243696401284e-06,0.372343850884205,0.110765024106008,10,0.794578094621523,0.152188367688249
"SERPINB2",0.109478176151453,0.0771976010419047,0.0164703231981495,0.52503155187495,0.020719944582417,11,0.482861298949355,0.0354244687457465
"SRP14",-0.0286683162938621,0.679510320134184,0.034077804922416,0.782946220906632,4.11656647501703e-06,10,0.906997980917913,1.68282614948722e-05
"ZDHHC17",0.0524266803702566,0.26809960182975,0.0111935782596845,0.601132603934244,0.00725371379433517,10,0.709740606756027,0.0140716082076066
"CLEC4C",0.0103918841120156,0.724354230287054,0.00240442633038336,0.3846434518638,0.111829211804968,9,0.92254105046174,0.153467003766479
"CILP2",0.161504418994971,0.151649105211569,0.0571433142672764,0.701625933661764,0.00264835522978953,7,0.605246926485438,0.00575440081314229
"GDPD4",0.0420036057231948,0.188974816722224,0,0,0.794991468389231,6,0.646871322889979,0.821445788343768
"PAN3",0.0104995780781973,0.89603999120249,0.0446552820439165,0.805474430479438,1.9747602929246e-06,9,0.97314434603421,8.61729817098785e-06
"BZW1",0.0468756421369548,0.487557064563686,0.0301384213689362,0.659935849893606,0.00171352225106804,10,0.833536467766197,0.00389505854074982
"HTR1E",0.0418821737103274,0.219664299128755,0.00236963841884185,0.386711297638293,0.100259370494796,10,0.672397937716249,0.139630445158621
"SEPSECS",-0.0441081442470349,0.473811889546213,0.0250410537481874,0.741794264749217,0.000141482920482886,9,0.826884666810184,0.000411073991147711
"OR2L8",-0.0309519055218337,0.386251351559813,0,0,0.803293366372976,3,0.785414636699647,0.828746217843188
"TEKT3",-0.138718960017834,0.00629813891596485,1.15958023356944e-07,0.0900361111619035,0.360184039607095,9,0.155653860793929,0.4157772510215
"AGBL2",-0.180504703192605,0.0461345413243495,0.0230761830748974,0.392069702766991,0.0964528666145579,10,0.39457216537844,0.134975831611243
"SLMO1",-0.0142863941901003,0.568537865265409,0,0,0.784680893831199,9,0.865214650893057,0.812462274717421
"PARP2",-0.0967996107667654,6.44120060384389e-06,7.88252878984645e-07,0.348413703716822,0.129155074870961,10,0.00178628559734416,0.17375345017271
"MEX3B",-0.000303324870370665,0.991223587868806,0,0,0.589080419624389,9,0.997888427244419,0.634355870755529
"OSR1",0.0217776033723269,0.702462597626113,0.009264835035946,0.387961796752864,0.109427279868402,9,0.914691299742308,0.150607642976893
"TMEM53",-0.035661267043743,0.309638262482117,0.00471363463281223,0.549742113151825,0.0230379679783065,9,0.739218070976044,0.0388778802135134
"ACCN3",-0.0278913005493973,0.699061922338782,0.0132146435996336,0.71449164236069,0.0147096108921796,4,0.913547220868733,0.0262751745017855
"DGCR14",-0.0343543991216242,0.415503055637422,0.00509774121936299,0.461474412184817,0.0840994803786196,7,0.800969329372679,0.11991419910732
"MAML1",-0.0230409185683437,0.652655156390265,0.0191179977097319,0.806750292690531,4.71507949220683e-07,10,0.898530437109412,2.36263183610538e-06
"ASZ1",0.0273256351008694,0.352336821445245,0.00142669999730973,0.449242903946638,0.105977132666895,6,0.765456398278212,0.146515991309468
"POU4F2",0.0317639686554147,0.310230165304001,0.00298962854720931,0.258459491061021,0.213982251939197,9,0.739402564359948,0.267167759911872
"ZBTB17",0.0184978004484362,0.777590924791107,0.0349281497922819,0.790569204423983,6.89864911192216e-07,11,0.937482090114208,3.33420887666959e-06
"OR4A16",-0.0256621726584663,0.442460050850548,0,0,0.811147635990115,3,0.813597642908984,0.835527430881335
"DCDC1",-0.170419055265497,0.323962326988888,0.072068377159854,0.65600795723391,0.033237821345788,4,0.747294209572122,0.0536120414233071
"MRPS26",-0.0992564387600862,0.379076004979691,0.0874571696386639,0.903081411408794,5.23897190581687e-13,8,0.781105711174738,8.96458689160593e-12
"KCNJ3",0.037289391475195,0.420243518399486,0.0129435619965195,0.637667148262968,0.00209218046965366,11,0.802989840945746,0.00466611556584709
"FEM1C",0.0592465124490728,0.161151626217956,0.00461091385961648,0.415762638862684,0.0901247663264441,9,0.616279170353562,0.127361344646993
"TH1L",-0.0206783794184984,0.894856613574713,0.112072845417695,0.864669267398418,6.02282609955041e-06,5,0.973119124820485,2.37129120926653e-05
"SPAG4",0.146802244112614,0.0498715432171848,0.0299632642112983,0.612667364667598,0.00568782323609243,10,0.406317298762041,0.0113413315055539
"KCNJ13",0.0345337645694908,0.431166172831701,0.0093511546955963,0.619579474963022,0.00706984627206998,9,0.808045000441073,0.0137559823392123
"KRT10",0.097613834541957,0.369859242765066,0.105075381178155,0.892299413163043,3.15455874942662e-14,10,0.775357889494548,6.72944641444881e-13
"MAP3K11",-0.0485166336365754,0.247124560821395,0.00505013940169489,0.280353088817136,0.186255556931985,10,0.692354298740617,0.237139199055304
"ORAI1",0.180039234350045,0.240397705881106,0.139923607098311,0.911856278151301,1.01620928089847e-12,7,0.688126809040889,1.6411031673519e-11
"LYRM2",0.026086566804531,0.762465200545954,0.064371793810962,0.841968101700548,5.16493014149635e-09,10,0.933800739833713,3.98383214590417e-08
"CD200R1L",-0.167365314825299,0.735384298794834,0.553968810036309,0.662582641559093,0.05162812673371,3,0.925999174458491,0.0787477439438754
"NTF3",-0.090593069880363,0.369921237729344,0.0898452665600157,0.74585353903184,2.2067187217868e-05,11,0.775420478079573,7.67279184328435e-05
"PAEP",-0.00762681164741341,0.834129036516981,0.00300837139914807,0.30167807381112,0.187215789226263,8,0.955311668465471,0.238160674188656
"IGSF8",-0.134549449254017,0.107318447757786,0.0467870503668701,0.828995426287966,1.68705040869968e-07,9,0.541009650867552,9.29090737518767e-07
"LYSMD1",-0.0235084310839859,0.60812420845809,0.00741142985630158,0.475713462054837,0.054303779421889,9,0.88015673530104,0.0822723570556933
"CCDC73",-0.176559718456948,0.108679589396573,0.0551838507594155,0.882004798546147,4.94672955145595e-08,6,0.54355564953796,3.0744395643477e-07
"ZNF506",-0.113947310520094,0.239309567716821,0.086580069704959,0.885904231411664,2.69520016483208e-13,10,0.687711239679485,4.87825164117806e-12
"ZNF781",-0.0885287315741189,0.0521401396378475,0.0105794416048038,0.645506846417755,0.00396635631063947,9,0.413798726418464,0.00825181328850552
"CLDN9",-0.0619753141040817,0.318375067459904,0.023702670531404,0.63103113704382,0.0037223342797129,10,0.74448886328643,0.0077948963863264
"SNX31",0.0103597180528649,0.895844316873673,0.0320917542755257,0.727605847570794,0.000570207198719302,8,0.97314434603421,0.00145242705695741
"TADA1",-0.0265305295287892,0.539100457808756,0.00797709428088751,0.618239841382699,0.0105421176017086,8,0.852817570989862,0.0195323046672111
"CASP2",0.055654343532599,0.381491653805273,0.035769438830863,0.797082203696152,3.61753666598051e-07,11,0.782763829175872,1.85940151555415e-06
"HTR1D",0.0379046089469331,0.198162594656116,0.00141037716055117,0,0.528977831532525,10,0.653749522311727,0.5779073771739
"FAM194B",-0.00110320388229249,0.978313969768188,0,0,0.571693546356656,3,0.995684650302055,0.618087927628026
"PTPRU",-0.0157402197999282,0.642848109382739,0.00328559886155889,0.383352846042728,0.0935940807074632,11,0.89518661127709,0.131631849911336
"C13orf31",0.143170287301969,0.501305556703122,0.116417140253779,0.822736868026933,0.00354814271519887,3,0.838186844882947,0.00746868254140666
"SPATA6",-0.0788288096203601,0.212747624098165,0.0285870871225655,0.717798518178997,0.000207862433199888,10,0.665322349529025,0.000582947451565
"ZNRD1",0.0403235826239165,0.60561095072244,0.0386097879595467,0.862816623798989,9.077593951849e-09,8,0.879209062403292,6.64891042125868e-08
"EGR4",0.0732974303638168,0.190284833810539,0.016273620244945,0.547923772890536,0.0145040109748963,11,0.647941756258981,0.0259328792642154
"PHC1",-0.029624814362058,0.632957110311931,0.0294578380152405,0.860481334522779,1.79862197448066e-10,10,0.88978361594686,1.82640371962521e-09
"KRT28",0.00637329629679669,0.835311587946813,0,0.279800206261959,0.235022215072265,5,0.955813571357955,0.289733840020875
"DEAF1",0.0349217525811809,0.146818630649422,0.00121082236704041,0.438725357041745,0.0661557170262594,10,0.600446116803327,0.0975039086556237
"C19orf40",0.0103267027205234,0.663537092157844,0,0,0.829064809873697,9,0.902284626137885,0.851112529479308
